x;Height_m
29041.236672558956;117.0
29173.845059191648;119.0
29306.453445824336;119.0
29439.061832457024;121.0
29571.670219089716;121.0
29704.278605722404;124.0
29836.886992355092;124.0
29969.495378987784;127.0
30102.10376562047;127.0
30234.71215225316;130.0
30367.32053888585;130.0
30499.92892551854;133.0
30632.537312151228;134.0
30765.14569878392;137.0
30897.754085416607;137.0
31030.362472049295;138.0
31162.970858681987;140.0
31295.579245314675;141.0
31428.187631947363;141.0
31560.796018580055;142.0
31693.404405212743;142.0
31826.01279184543;143.0
31958.621178478123;143.0
32091.22956511081;143.0
32223.837951743502;143.0
32356.44633837619;143.0
32489.05472500888;143.0
32621.66311164157;143.0
32754.27149827426;142.0
32886.87988490695;142.0
33019.48827153964;142.0
33152.096658172326;141.0
33284.705044805014;141.0
33417.3134314377;141.0
33549.92181807039;141.0
33682.530204703085;140.0
33815.13859133577;136.0
33947.74697796846;134.0
