x;Height_m
0.0;121.0
132.6083866326893;120.0
265.2167732653786;123.0
397.8251598980679;123.0
530.4335465307572;125.0
663.0419331634465;124.0
795.6503197961358;124.0
928.2587064288251;127.0
1060.8670930615144;127.0
1193.4754796942038;129.0
1326.083866326893;128.0
1458.6922529595822;131.0
1591.3006395922716;130.0
1723.909026224961;133.0
1856.5174128576502;133.0
1989.1257994903394;134.0
2121.734186123029;133.0
2254.3425727557183;135.0
2386.9509593884077;134.0
2519.5593460210966;134.0
2652.167732653786;134.0
2784.7761192864755;134.0
2917.3845059191644;134.0
3049.992892551854;136.0
3182.6012791845433;136.0
3315.2096658172327;137.0
3447.818052449922;137.0
3580.426439082611;139.0
3713.0348257153005;138.0
3845.64321234799;139.0
3978.251598980679;139.0
4110.859985613369;140.0
4243.468372246058;140.0
4376.076758878747;141.0
4508.6851455114365;141.0
4641.2935321441255;142.0
4773.901918776815;142.0
4906.510305409504;143.0
5039.118692042193;143.0
5171.727078674883;143.0
5304.335465307572;143.0
5436.943851940261;143.0
5569.552238572951;143.0
5702.16062520564;143.0
5834.769011838329;143.0
5967.377398471019;143.0
6099.985785103708;143.0
6232.594171736398;143.0
6365.202558369087;143.0
6497.8109450017755;143.0
6630.419331634465;143.0
6763.027718267154;142.0
6895.636104899844;142.0
7028.244491532533;142.0
7160.852878165222;142.0
7293.461264797912;142.0
7426.069651430601;143.0
7558.67803806329;143.0
7691.28642469598;143.0
7823.894811328669;143.0
7956.503197961358;144.0
8089.111584594048;144.0
8221.719971226737;145.0
8354.328357859426;145.0
8486.936744492115;145.0
8619.545131124805;145.0
8752.153517757493;145.0
8884.761904390183;145.0
9017.370291022873;145.0
9149.978677655561;144.0
9282.587064288251;143.0
9415.19545092094;143.0
9547.80383755363;142.0
9680.412224186319;141.0
9813.020610819009;136.0
9945.628997451699;134.0
10078.237384084387;127.0
10210.845770717076;124.0
10343.454157349766;116.0
10476.062543982454;113.0
10608.670930615144;104.0
10741.279317247834;101.0
10873.887703880522;99.0
11006.496090513212;92.0
11139.104477145902;91.0
11271.71286377859;91.0
11404.32125041128;91.0
11536.92963704397;91.0
11669.538023676658;91.0
11802.146410309348;91.0
11934.754796942038;91.0
12067.363183574727;91.0
12199.971570207415;91.0
12332.579956840105;91.0
12465.188343472795;91.0
12597.796730105483;91.0
12730.405116738173;91.0
12863.013503370863;91.0
12995.621890003551;91.0
13128.23027663624;91.0
13260.83866326893;91.0
13393.447049901619;91.0
13526.055436534309;91.0
13658.663823166999;91.0
13791.272209799688;91.0
13923.880596432376;91.0
14056.488983065066;91.0
14189.097369697756;91.0
14321.705756330444;91.0
14454.314142963134;91.0
14586.922529595824;91.0
14719.530916228512;91.0
14852.139302861202;91.0
14984.747689493892;91.0
15117.35607612658;91.0
15249.96446275927;91.0
15382.57284939196;91.0
15515.181236024648;91.0
15647.789622657338;91.0
15780.398009290027;91.0
15913.006395922715;91.0
16045.614782555405;91.0
16178.223169188095;91.0
16310.831555820785;91.0
16443.439942453475;91.0
16576.048329086163;91.0
16708.65671571885;91.0
16841.265102351543;91.0
16973.87348898423;91.0
17106.48187561692;91.0
17239.09026224961;91.0
17371.6986488823;91.0
17504.307035514987;91.0
17636.91542214768;91.0
17769.523808780366;91.0
17902.132195413054;91.0
18034.740582045746;91.0
18167.348968678434;91.0
18299.957355311122;91.0
18432.565741943814;91.0
18565.174128576502;91.0
18697.78251520919;91.0
18830.39090184188;91.0
18962.99928847457;91.0
19095.60767510726;91.0
19228.21606173995;91.0
19360.824448372638;91.0
19493.43283500533;91.0
19626.041221638017;91.0
19758.649608270705;91.0
19891.257994903397;91.0
20023.866381536085;91.0
20156.474768168773;91.0
20289.083154801465;91.0
20421.691541434153;91.0
20554.29992806684;91.0
20686.908314699533;91.0
20819.51670133222;91.0
20952.12508796491;91.0
21084.7334745976;92.0
21217.34186123029;93.0
21349.950247862977;94.0
21482.55863449567;94.0
21615.167021128356;96.0
21747.775407761044;96.0
21880.383794393736;97.0
22012.992181026424;97.0
22145.600567659112;98.0
22278.208954291804;97.0
22410.817340924492;97.0
22543.42572755718;97.0
22676.03411418987;97.0
22808.64250082256;97.0
22941.250887455248;98.0
23073.85927408794;98.0
23206.467660720627;98.0
23339.076047353316;98.0
23471.684433986007;99.0
23604.292820618695;99.0
23736.901207251387;99.0
23869.509593884075;99.0
24002.117980516763;99.0
24134.726367149455;99.0
24267.334753782143;100.0
24399.94314041483;100.0
24532.551527047523;101.0
24665.15991368021;100.0
24797.7683003129;101.0
24930.37668694559;100.0
25062.98507357828;100.0
25195.593460210966;100.0
25328.201846843658;101.0
25460.810233476346;101.0
25593.418620109034;102.0
25726.027006741726;102.0
25858.635393374414;102.0
25991.243780007102;103.0
26123.852166639794;103.0
26256.46055327248;104.0
26389.06893990517;104.0
26521.67732653786;105.0
26654.28571317055;105.0
26786.894099803238;106.0
26919.50248643593;106.0
27052.110873068617;108.0
27184.719259701305;108.0
27317.327646333997;109.0
27449.936032966685;109.0
27582.544419599377;110.0
27715.152806232065;110.0
27847.761192864753;111.0
27980.369579497445;112.0
28112.977966130133;113.0
28245.58635276282;114.0
28378.194739395512;115.0
28510.8031260282;114.0
28643.41151266089;115.0
28776.01989929358;116.0
28908.62828592627;117.0
