x;Height_m
0.0;398.0
104.16946245380056;398.0
208.33892490760113;400.0
312.5083873614017;399.0
416.67784981520225;406.0
520.8473122690028;403.0
625.0167747228033;400.0
729.186237176604;397.0
833.3556996304045;389.0
937.525162084205;384.0
1041.6946245380057;380.0
1145.8640869918063;377.0
1250.0335494456067;356.0
1354.2030118994073;349.0
1458.372474353208;339.0
1562.5419368070084;331.0
1666.711399260809;324.0
1770.8808617146096;280.0
1875.05032416841;273.0
1979.2197866222107;268.0
2083.3892490760113;261.0
2187.5587115298117;241.0
2291.7281739836126;244.0
2395.897636437413;243.0
2500.0670988912134;241.0
2604.2365613450143;232.0
2708.4060237988147;231.0
2812.575486252615;228.0
2916.744948706416;228.0
3020.9144111602163;200.0
3125.0838736140167;196.0
3229.2533360678176;193.0
3333.422798521618;192.0
3437.5922609754184;175.0
3541.7617234292193;173.0
3645.9311858830197;172.0
3750.10064833682;174.0
3854.270110790621;187.0
3958.4395732444214;185.0
4062.6090356982218;183.0
4166.778498152023;181.0
4270.947960605823;195.0
4375.117423059623;197.0
4479.286885513424;201.0
4583.456347967225;210.0
4687.625810421026;269.0
4791.795272874826;280.0
4895.964735328626;289.0
5000.134197782427;304.0
5104.303660236227;329.0
5208.4731226900285;342.0
5312.642585143829;352.0
5416.812047597629;360.0
5520.98151005143;369.0
5625.15097250523;372.0
5729.3204349590305;374.0
5833.489897412832;375.0
5937.659359866632;383.0
6041.828822320433;382.0
6145.998284774233;381.0
6250.1677472280335;381.0
6354.337209681834;385.0
